"entropy","core_issue","yvar","SE","df","tvar","xvar"
-1,-1,-0.203562767328562,0.237337553947468,17.6798150073572,"-1",-1
0,-1,-0.0870734396734384,0.236121922524029,17.3208717517431,"0",-1
1,-1,0.0294158879816849,0.239540371506621,18.3431511832628,"1",-1
-1,-0.9,-0.191925692797438,0.237100434298288,17.6093001323277,"-1",-0.9
0,-0.9,-0.075627858610047,0.235863199993172,17.2451734636231,"0",-0.9
1,-0.9,0.040669975577344,0.238921593559505,18.1546261659939,"1",-0.9
-1,-0.8,-0.180288618266315,0.236892707883143,17.5476923082469,"-1",-0.8
0,-0.8,-0.0641822775466557,0.235630489297132,17.1772957508176,"0",-0.8
1,-0.8,0.0519240631730031,0.238361957098136,17.9853683036591,"1",-0.8
-1,-0.7,-0.168651543735191,0.236714452083267,17.4949458946667,"-1",-0.7
0,-0.7,-0.0527366964832644,0.235423867572096,17.1171937875055,"0",-0.7
1,-0.7,0.0631781507686622,0.237861879563434,17.8351230335564,"1",-0.7
-1,-0.6,-0.157014469204067,0.236565733518309,17.4510217420957,"-1",-0.6
0,-0.6,-0.041291115419873,0.235243403562382,17.0648278016942,"0",-0.6
1,-0.6,0.0744322383643213,0.237421737299688,17.7036632886291,"1",-0.6
-1,-0.5,-0.145377394672944,0.236446607922659,17.4158871949707,"-1",-0.5
0,-0.5,-0.0298455343564817,0.235089157507178,17.0201630779542,"0",-0.5
1,-0.5,0.0856863259599805,0.237041864172789,17.5907895358901,"1",-0.5
-1,-0.4,-0.13374032014182,0.236357120041495,17.389516094107,"-1",-0.4
0,-0.4,-0.0183999532930903,0.234961181040757,16.9831699597896,"0",-0.4
1,-0.4,0.0969404135556396,0.236722550327965,17.4963298096695,"1",-0.4
-1,-0.3,-0.122103245610697,0.236297303547012,17.3718887786365,"-1",-0.3
0,-0.3,-0.00695437222969901,0.234859517106527,16.9538238516483,"0",-0.3
1,-0.3,0.108194501151299,0.236464041097578,17.4201397398903,"1",-0.3
-1,-0.2,-0.110466171079573,0.236267180975204,17.3629920874385,"-1",-0.2
0,-0.2,0.00449120883369233,0.234784199885271,16.93210522058,"0",-0.2
1,-0.2,0.119448588746958,0.23626653606843,17.3621025755492,"1",-0.2
-1,-0.1,-0.0988290965484496,0.236266763683452,17.36281936007,"-1",-0.1
0,-0.1,0.0159367898970837,0.234735254737829,16.9179995975447,"0",-0.1
1,-0.1,0.130702676342617,0.236130188316759,17.3221292035464,"1",-0.1
-1,0,-0.087192022017326,0.236296051829133,17.3713704371955,"-1",0
0,0,0.027382370960475,0.234712698162481,16.9114975783771,"0",0
1,0,0.141956763938276,0.236055103817728,17.300158162987,"1",0
-1,0.1,-0.0755549474862024,0.236355034369319,17.3886516605218,"-1",0.1
0,0.1,0.0388279520238664,0.234716537767158,16.9125948244077,"0",0.1
1,0.1,0.153210851533935,0.236041341034668,17.2961556550425,"1",0.1
-1,0.2,-0.0639178729550789,0.236443689081585,17.4146758722342,"-1",0.2
0,0.2,0.0502735330872577,0.234746772256623,16.9212920627439,"0",0.2
1,0.2,0.164464939129594,0.236088910691814,17.3101155484368,"1",0.2
-1,0.3,-0.0522807984239553,0.236561982605824,17.4494624139353,"-1",0.3
0,0.3,0.061719114150649,0.234803391434655,16.9375950862114,"0",0.3
1,0.3,0.175719026725253,0.236197775732554,17.3420593805907,"1",0.3
-1,0.4,-0.0406437238928317,0.23670987050689,17.4930371250813,"-1",0.4
0,0.4,0.0731646952140404,0.234886376221227,16.961514752955,"0",0.4
1,0.4,0.186973114320912,0.236367851463606,17.3920363544303,"1",0.4
-1,0.5,-0.0290066493617082,0.236887297357796,17.5454323409131,"-1",0.5
0,0.5,0.0846102762774317,0.234995698684626,16.9930669856997,"0",0.5
1,0.5,0.198227201916572,0.236599005883779,17.460123330839,"1",0.5
-1,0.6,-0.0173695748305846,0.2370941968431,17.6066868898741,"-1",0.6
0,0.6,0.0960558573408231,0.235131322088365,17.0322727706673,"0",0.6
1,0.6,0.209481289512231,0.236891060194386,17.5464248167015,"1",0.6
-1,0.7,-0.00573250029946103,0.237330491882038,17.6768460905084,"-1",0.7
0,0.7,0.107501438404214,0.235293200952728,17.0791581561482,"0",0.7
1,0.7,0.22073537710789,0.237243789486688,17.6510729484612,"1",0.7
-1,0.8,0.00590457423166253,0.237596094770867,17.7559617478292,"-1",0.8
0,0.8,0.118947019467606,0.235481281130689,17.1337542507227,"0",0.8
1,0.8,0.231989464703549,0.237656923600269,17.7742274710848,"1",0.8
-1,0.9,0.0175416487627861,0.237890907343819,17.8440921491469,"-1",0.9
0,0.9,0.130392600530997,0.235695499897924,17.1960972211276,"0",0.9
1,0.9,0.243243552299208,0.23813014814475,17.9160757122995,"1",0.9
-1,1,0.0291787232939097,0.238214821151971,17.9413020593447,"-1",1
0,1,0.141838181594388,0.235935786056556,17.2662282897624,"0",1
1,1,0.254497639894867,0.238663105675957,18.0768325519382,"1",1
