entropy,core_label,yvar,SE,df,tvar,xvar
-1,-1,0.06210834,0.236873951,17.54131758,-1,-1
-1,-0.9,0.047178304,0.236721361,17.49639679,-1,-0.9
-1,-0.8,0.032248268,0.23658977,17.45772053,-1,-0.8
-1,-0.7,0.017318232,0.236479213,17.42526864,-1,-0.7
-1,-0.6,0.002388195,0.23638972,17.39902416,-1,-0.6
-1,-0.5,-0.012541841,0.236321315,17.37897338,-1,-0.5
-1,-0.4,-0.027471877,0.236274016,17.36510579,-1,-0.4
-1,-0.3,-0.042401913,0.236247837,17.35741413,-1,-0.3
-1,-0.2,-0.05733195,0.236242783,17.35589436,-1,-0.2
-1,-0.1,-0.072261986,0.236258856,17.36054566,-1,-0.1
-1,0,-0.087192022,0.236296052,17.37137044,-1,0
-1,0.1,-0.102122058,0.236354361,17.38837434,-1,0.1
-1,0.2,-0.117052095,0.236433767,17.41156625,-1,0.2
-1,0.3,-0.131982131,0.23653425,17.44095824,-1,0.3
-1,0.4,-0.146912167,0.236655781,17.47656565,-1,0.4
-1,0.5,-0.161842203,0.23679833,17.51840701,-1,0.5
-1,0.6,-0.17677224,0.236961857,17.5665041,-1,0.6
-1,0.7,-0.191702276,0.23714632,17.62088191,-1,0.7
-1,0.8,-0.206632312,0.237351669,17.68156864,-1,0.8
-1,0.9,-0.221562348,0.237577851,17.74859572,-1,0.9
-1,1,-0.236492384,0.237824806,17.82199779,-1,1
0,-1,0.126757715,0.235957269,17.2706363,0,-1
0,-0.9,0.116820181,0.235726052,17.20348517,0,-0.9
0,-0.8,0.106882646,0.235518426,17.14335133,0,-0.8
0,-0.7,0.096945112,0.235334453,17.09019927,0,-0.7
0,-0.6,0.087007577,0.235174188,17.04399758,0,-0.6
0,-0.5,0.077070043,0.235037681,17.00471889,0,-0.5
0,-0.4,0.067132509,0.234924972,16.9723399,0,-0.4
0,-0.3,0.057194974,0.234836096,16.94684139,0,-0.3
0,-0.2,0.04725744,0.234771079,16.92820821,0,-0.2
0,-0.1,0.037319905,0.234729943,16.91642928,0,-0.1
0,0,0.027382371,0.234712698,16.91149758,0,0
0,0.1,0.017444837,0.234719351,16.91341019,0,0.1
0,0.2,0.007507302,0.2347499,16.92216824,0,0.2
0,0.3,-0.002430232,0.234804335,16.93777697,0,0.3
0,0.4,-0.012367767,0.234882639,16.96024565,0,0.4
0,0.5,-0.022305301,0.234984789,16.98958765,0,0.5
0,0.6,-0.032242835,0.235110753,17.0258204,0,0.6
0,0.7,-0.04218037,0.235260494,17.06896542,0,0.7
0,0.8,-0.052117904,0.235433966,17.11904829,0,0.8
0,0.9,-0.062055439,0.235631117,17.17609863,0,0.9
0,1,-0.071992973,0.235851886,17.24015017,0,1
1,-1,0.191407089,0.23868167,18.07862142,1,-1
1,-0.9,0.186462057,0.238210461,17.93701723,1,-0.9
1,-0.8,0.181517024,0.237785061,17.80989659,1,-0.8
1,-0.7,0.176571992,0.237405716,17.69711325,1,-0.7
1,-0.6,0.171626959,0.237072647,17.59853701,1,-0.6
1,-0.5,0.166681927,0.23678605,17.51405366,1,-0.5
1,-0.4,0.161736894,0.236546094,17.44356506,1,-0.4
1,-0.3,0.156791862,0.23635292,17.38698916,1,-0.3
1,-0.2,0.151846829,0.236206644,17.34425996,1,-0.2
1,-0.1,0.146901796,0.236107352,17.31532756,1,-0.1
1,0,0.141956764,0.236055104,17.30015816,1,0
1,0.1,0.137011731,0.236049931,17.29873408,1,0.1
1,0.2,0.132066699,0.236091836,17.31105371,1,0.2
1,0.3,0.127121666,0.236180795,17.33713159,1,0.3
1,0.4,0.122176634,0.236316753,17.37699835,1,0.4
1,0.5,0.117231601,0.236499631,17.4307007,1,0.5
1,0.6,0.112286569,0.236729318,17.49830149,1,0.6
1,0.7,0.107341536,0.23700568,17.57987962,1,0.7
1,0.8,0.102396504,0.237328553,17.67553008,1,0.8
1,0.9,0.097451471,0.237697747,17.7853639,1,0.9
1,1,0.092506438,0.238113047,17.90950819,1,1
