entropy,event_number,yvar,SE,df,tvar,xvar
-1,-1,-0.159413039,0.237412288,17.70087431,-1,-1
-1,-0.9,-0.152190937,0.237085402,17.60380204,-1,-0.9
-1,-0.8,-0.144968835,0.236806037,17.5211635,-1,-0.8
-1,-0.7,-0.137746734,0.23657436,17.45285984,-1,-0.7
-1,-0.6,-0.130524632,0.236390512,17.39880914,-1,-0.6
-1,-0.5,-0.12330253,0.236254605,17.35894647,-1,-0.5
-1,-0.4,-0.116080429,0.236166721,17.33322389,-1,-0.4
-1,-0.3,-0.108858327,0.236126914,17.32161046,-1,-0.3
-1,-0.2,-0.101636225,0.236135209,17.32409221,-1,-0.2
-1,-0.1,-0.094414124,0.236191599,17.34067219,-1,-0.1
-1,0,-0.087192022,0.236296052,17.37137044,-1,0
-1,0.1,-0.07996992,0.236448502,17.416224,-1,0.1
-1,0.2,-0.072747819,0.236648858,17.4752869,-1,0.2
-1,0.3,-0.065525717,0.236896998,17.54863016,-1,0.3
-1,0.4,-0.058303615,0.237192771,17.63634177,-1,0.4
-1,0.5,-0.051081514,0.237536001,17.73852667,-1,0.5
-1,0.6,-0.043859412,0.23792648,17.85530678,-1,0.6
-1,0.7,-0.03663731,0.238363979,17.98682094,-1,0.7
-1,0.8,-0.029415209,0.238848237,18.13322489,-1,0.8
-1,0.9,-0.022193107,0.239378971,18.2946913,-1,0.9
-1,1,-0.014971005,0.239955873,18.47140967,-1,1
0,-1,-0.057509546,0.236562747,17.4502534,0,-1
0,-0.9,-0.049020354,0.236213889,17.34771714,0,-0.9
0,-0.8,-0.040531162,0.235901136,17.25617243,0,-0.8
0,-0.7,-0.032041971,0.235624631,17.17553534,0,-0.7
0,-0.6,-0.023552779,0.235384502,17.10573174,0,-0.6
0,-0.5,-0.015063587,0.235180861,17.04669728,0,-0.5
0,-0.4,-0.006574396,0.235013802,16.99837745,0,-0.4
0,-0.3,0.001914796,0.234883404,16.96072754,0,-0.3
0,-0.2,0.010403988,0.234789728,16.93371266,0,-0.2
0,-0.1,0.018893179,0.234732817,16.91730775,0,-0.1
0,0,0.027382371,0.234712698,16.91149758,0,0
0,0.1,0.035871563,0.234729381,16.91627673,0,0.1
0,0.2,0.044360754,0.234782858,16.93164963,0,0.2
0,0.3,0.052849946,0.234873104,16.95763052,0,0.3
0,0.4,0.061339138,0.235000076,16.99424347,0,0.4
0,0.5,0.069828329,0.235163716,17.04152239,0,0.5
0,0.6,0.078317521,0.235363945,17.09951098,0,0.6
0,0.7,0.086806713,0.235600672,17.1682628,0,0.7
0,0.8,0.095295904,0.235873786,17.24784117,0,0.8
0,0.9,0.103785096,0.236183161,17.33831925,0,0.9
0,1,0.112274288,0.236528655,17.43977998,0,1
1,-1,0.044393947,0.240805196,18.73463231,1,-1
1,-0.9,0.054150229,0.240038273,18.49737047,1,-0.9
1,-0.8,0.063906511,0.239334944,18.28173842,1,-0.8
1,-0.7,0.073662792,0.238695771,18.08738568,1,-0.7
1,-0.6,0.083419074,0.23812127,17.91399438,1,-0.6
1,-0.5,0.093175356,0.23761191,17.76127929,1,-0.5
1,-0.4,0.102931637,0.237168111,17.62898795,1,-0.4
1,-0.3,0.112687919,0.236790242,17.51690065,1,-0.3
1,-0.2,0.122444201,0.236478619,17.42483047,1,-0.2
1,-0.1,0.132200482,0.236233504,17.35262337,1,-0.1
1,0,0.141956764,0.236055104,17.30015816,1,0
1,0.1,0.151713046,0.23594357,17.26734654,1,0.1
1,0.2,0.161469327,0.235898998,17.25413312,1,0.2
1,0.3,0.171225609,0.235921425,17.26049541,1,0.3
1,0.4,0.180981891,0.236010832,17.28644386,1,0.4
1,0.5,0.190738172,0.236167143,17.33202182,1,0.5
1,0.6,0.200494454,0.236390226,17.39730552,1,0.6
1,0.7,0.210250736,0.236679891,17.48240412,1,0.7
1,0.8,0.220007017,0.237035895,17.58745962,1,0.8
1,0.9,0.229763299,0.237457938,17.71264687,1,0.9
1,1,0.239519581,0.237945671,17.8581735,1,1
