entropy,participant_number,yvar,SE,df,tvar,xvar
-1,-1,-0.264742957,0.242415794,19.24072885,-1,-1
-1,-0.9,-0.246987864,0.241420131,18.9269039,-1,-0.9
-1,-0.8,-0.22923277,0.240507572,18.64262648,-1,-0.8
-1,-0.7,-0.211477677,0.239679069,18.38728961,-1,-0.7
-1,-0.6,-0.193722583,0.238935495,18.16034373,-1,-0.6
-1,-0.5,-0.17596749,0.238277645,17.96129682,-1,-0.5
-1,-0.4,-0.158212396,0.23770623,17.78971459,-1,-0.4
-1,-0.3,-0.140457303,0.237221877,17.64522049,-1,-0.3
-1,-0.2,-0.122702209,0.236825118,17.5274959,-1,-0.2
-1,-0.1,-0.104947116,0.236516395,17.4362801,-1,-0.1
-1,0,-0.087192022,0.236296052,17.37137044,-1,0
-1,0.1,-0.069436929,0.236164337,17.33262227,-1,0.1
-1,0.2,-0.051681835,0.236121399,17.31994908,-1,0.2
-1,0.3,-0.033926741,0.236167285,17.33332243,-1,0.3
-1,0.4,-0.016171648,0.236301944,17.37277201,-1,0.4
-1,0.5,0.001583446,0.236525224,17.43838562,-1,0.5
-1,0.6,0.019338539,0.236836876,17.53030912,-1,0.6
-1,0.7,0.037093633,0.237236549,17.64874645,-1,0.7
-1,0.8,0.054848726,0.237723802,17.79395953,-1,0.8
-1,0.9,0.07260382,0.238298095,17.96626824,-1,0.9
-1,1,0.090358913,0.238958802,18.16605029,-1,1
0,-1,-0.234056112,0.237791882,17.81547539,0,-1
0,-0.9,-0.207912264,0.237208535,17.64152959,0,-0.9
0,-0.8,-0.181768416,0.236685535,17.48665548,0,-0.8
0,-0.7,-0.155624567,0.236223285,17.3506143,0,-0.7
0,-0.6,-0.129480719,0.23582214,17.23319539,0,-0.6
0,-0.5,-0.103336871,0.235482413,17.1342162,0,-0.5
0,-0.4,-0.077193022,0.23520437,17.05352231,0,-0.4
0,-0.3,-0.051049174,0.234988231,16.99098747,0,-0.3
0,-0.2,-0.024905326,0.234834166,16.94651362,0,-0.2
0,-0.1,0.001238523,0.234742297,16.92003087,0,-0.1
0,0,0.027382371,0.234712698,16.91149758,0,0
0,0.1,0.053526219,0.234745392,16.9209003,0,0.1
0,0.2,0.079670068,0.234840353,16.94825382,0,0.2
0,0.3,0.105813916,0.234997505,16.99360113,0,0.3
0,0.4,0.131957764,0.235216724,17.05701344,0,0.4
0,0.5,0.158101612,0.235497837,17.13859015,0,0.5
0,0.6,0.184245461,0.235840622,17.23845885,0,0.6
0,0.7,0.210389309,0.236244811,17.3567753,0,0.7
0,0.8,0.236533157,0.236710089,17.49372337,0,0.8
0,0.9,0.262677006,0.237236097,17.64951507,0,0.9
0,1,0.288820854,0.237822431,17.82439046,0,1
1,-1,-0.203369267,0.241149265,18.83853727,1,-1
1,-0.9,-0.168836664,0.240060151,18.50123535,1,-0.9
1,-0.8,-0.134304061,0.23909669,18.20663054,1,-0.8
1,-0.7,-0.099771458,0.238260409,17.95377656,1,-0.7
1,-0.6,-0.065238855,0.237552649,17.74185455,1,-0.6
1,-0.5,-0.030706252,0.236974563,17.57017334,1,-0.5
1,-0.4,0.003826352,0.236527102,17.43816978,1,-0.4
1,-0.3,0.038358955,0.236211007,17.34540887,1,-0.3
1,-0.2,0.072891558,0.236026807,17.29158399,1,-0.2
1,-0.1,0.107424161,0.23597481,17.27651697,1,-0.1
1,0,0.141956764,0.236055104,17.30015816,1,0
1,0.1,0.176489367,0.236267554,17.36258648,1,0.1
1,0.2,0.21102197,0.236611803,17.46400934,1,0.2
1,0.3,0.245554573,0.237087279,17.60476263,1,0.3
1,0.4,0.280087176,0.237693193,17.7853106,1,0.4
1,0.5,0.314619779,0.23842855,18.00624566,1,0.5
1,0.6,0.349152383,0.239292158,18.26828819,1,0.6
1,0.7,0.383684986,0.240282634,18.5722863,1,0.7
1,0.8,0.418217589,0.241398416,18.91921549,1,0.8
1,0.9,0.452750192,0.242637775,19.31017828,1,0.9
1,1,0.487282795,0.243998828,19.74640373,1,1
