resolution_time,event_number,issue_length,participant_number,entropy,project_name,core_issue,normal_issue,core_assign,core_label,core_subscribe,before_average_time,slice_average_time
502.8135755,6.511472275,11.08699809,3.889101338,1.785116626,microsoft/vscode,1.007648184,0.282026769,1.536328872,3.380497132,0.271510516,569.2331099,569.3214286
507.9651515,6.248484848,9.622727273,3.792424242,1.633033897,microsoft/vscode,1.665151515,0.568181818,1.416666667,2.192424242,0.33030303,569.2331099,569.3214286
502.1659501,6.405846948,10.38435082,3.826311264,1.685002661,microsoft/vscode,1.68099742,0.539122958,1.325021496,3.041272571,0.239036973,569.2331099,569.3214286
501.3975155,8.81573499,21.62008282,5.542443064,1.854317511,microsoft/vscode,3.224637681,3.275362319,1.449275362,3.130434783,2.057971014,569.2331099,569.3214286
513.196319,8.656441718,21.93865031,4.920245399,1.85292154,microsoft/vscode,1.858895706,0.754601227,1.435582822,3.079754601,1.515337423,569.2331099,569.3214286
524.6818182,6.606060606,12.81439394,4.007575758,1.796027825,microsoft/vscode,1.40530303,0.159090909,3.78030303,1.962121212,0.681818182,569.2331099,569.3214286
509.9883598,8.294179894,22.47089947,5.214814815,1.815276408,microsoft/vscode,4.728042328,0.724867725,2.685714286,2.991534392,5.762962963,569.2331099,569.3214286
508.4934726,6.595300261,10.50391645,3.845953003,1.750948006,microsoft/vscode,1.279373368,0.53002611,1.451697128,2.532637076,0.420365535,569.2331099,569.3214286
414.4207921,9.367986799,23.32673267,5.589108911,1.829466407,microsoft/vscode,3.552805281,3.199669967,1.511551155,3.133663366,4.364686469,522.2700226,505.9799642
409.2383107,6.568627451,10.35595777,4.26546003,1.81112191,microsoft/vscode,0.917043741,0.279034691,1.307692308,3.030165913,0.262443439,522.2700226,505.9799642
412.5652174,8.211352657,18.71980676,5.241545894,1.801925847,microsoft/vscode,2.963768116,2.535024155,1.369565217,2.914251208,0.758454106,522.2700226,505.9799642
411.1805662,6.094108646,9.323641928,3.717674063,1.643209799,microsoft/vscode,1.581484315,0.50420811,1.189747513,2.586840092,0.304514155,522.2700226,505.9799642
426.6026201,6.810043668,11.83624454,4.148471616,1.771867287,microsoft/vscode,1.434497817,0.746724891,1.572052402,3.052401747,0.349344978,522.2700226,505.9799642
412.4064885,8.275763359,22.12977099,5.388358779,1.789901938,microsoft/vscode,4.391221374,0.339694656,2.413167939,3.366412214,5.577290076,522.2700226,505.9799642
417.3454545,6.653246753,11.02987013,4.180519481,1.69134999,microsoft/vscode,1.755844156,0.676623377,1.641558442,2.653246753,0.212987013,522.2700226,505.9799642
413.5114679,7.357798165,13.95068807,4.42087156,1.832199544,microsoft/vscode,1.301605505,0.461009174,1.393348624,3.907110092,0.458715596,522.2700226,505.9799642
333.8611111,8.333333333,21.08585859,4.876262626,1.827726432,microsoft/vscode,3.025252525,0.765151515,1.76010101,4.477272727,1.02020202,471.78297,413.8068662
337.1643059,6.586402266,11.42492918,4.056657224,1.722905702,microsoft/vscode,1.494334278,0.797450425,1.549575071,3.21388102,0.416430595,471.78297,413.8068662
322.9,8.504807692,20.20961538,5.204807692,1.803978872,microsoft/vscode,2.919230769,2.926923077,1.481730769,3.040384615,2.073076923,471.78297,413.8068662
317.0842191,6.003270646,8.932951758,3.578086672,1.569959712,microsoft/vscode,1.54374489,0.40637776,1.202780049,2.489779231,0.271463614,471.78297,413.8068662
319.5874295,6.118452861,9.439967768,3.49556809,1.593551561,microsoft/vscode,1.535858179,0.508460919,1.266720387,2.721192587,0.286865431,471.78297,413.8068662
322.1740827,6.412958626,10.21545667,3.976580796,1.739381012,microsoft/vscode,0.706479313,0.206088993,1.37470726,3.363778298,0.254488681,471.78297,413.8068662
325.8932419,8.133202742,21.6963761,5.321253673,1.808989641,microsoft/vscode,4.042115573,0.797257591,2.533790402,3.2791381,5.619000979,471.78297,413.8068662
