entropy,before_average_time,yvar,SE,df,tvar,xvar
-1,-1,-0.575189444,0.029165486,Inf,-1,-1
-1,-0.9,-0.518986759,0.028940148,Inf,-1,-0.9
-1,-0.8,-0.462784073,0.028734009,Inf,-1,-0.8
-1,-0.7,-0.406581388,0.028547484,Inf,-1,-0.7
-1,-0.6,-0.350378702,0.02838096,Inf,-1,-0.6
-1,-0.5,-0.294176017,0.02823479,Inf,-1,-0.5
-1,-0.4,-0.237973331,0.028109292,Inf,-1,-0.4
-1,-0.3,-0.181770646,0.028004744,Inf,-1,-0.3
-1,-0.2,-0.125567961,0.027921382,Inf,-1,-0.2
-1,-0.1,-0.069365275,0.027859395,Inf,-1,-0.1
-1,0,-0.01316259,0.027818927,Inf,-1,0
-1,0.1,0.043040096,0.027800071,Inf,-1,0.1
-1,0.2,0.099242781,0.027802871,Inf,-1,0.2
-1,0.3,0.155445467,0.027827321,Inf,-1,0.3
-1,0.4,0.211648152,0.027873365,Inf,-1,0.4
-1,0.5,0.267850838,0.027940894,Inf,-1,0.5
-1,0.6,0.324053523,0.028029754,Inf,-1,0.6
-1,0.7,0.380256209,0.028139743,Inf,-1,0.7
-1,0.8,0.436458894,0.028270614,Inf,-1,0.8
-1,0.9,0.492661579,0.028422079,Inf,-1,0.9
-1,1,0.548864265,0.02859381,Inf,-1,1
0,-1,-0.54062364,0.028615354,Inf,0,-1
0,-0.9,-0.481522783,0.028454768,Inf,0,-0.9
0,-0.8,-0.422421925,0.028307858,Inf,0,-0.8
0,-0.7,-0.363321068,0.028174838,Inf,0,-0.7
0,-0.6,-0.30422021,0.028055905,Inf,0,-0.6
0,-0.5,-0.245119353,0.027951239,Inf,0,-0.5
0,-0.4,-0.186018495,0.027861001,Inf,0,-0.4
0,-0.3,-0.126917637,0.027785331,Inf,0,-0.3
0,-0.2,-0.06781678,0.02772435,Inf,0,-0.2
0,-0.1,-0.008715922,0.027678153,Inf,0,-0.1
0,0,0.050384935,0.027646814,Inf,0,0
0,0.1,0.109485793,0.027630386,Inf,0,0.1
0,0.2,0.16858665,0.027628893,Inf,0,0.2
0,0.3,0.227687508,0.027642339,Inf,0,0.3
0,0.4,0.286788365,0.027670702,Inf,0,0.4
0,0.5,0.345889223,0.027713936,Inf,0,0.5
0,0.6,0.40499008,0.027771971,Inf,0,0.6
0,0.7,0.464090938,0.027844715,Inf,0,0.7
0,0.8,0.523191796,0.027932053,Inf,0,0.8
0,0.9,0.582292653,0.028033849,Inf,0,0.9
0,1,0.641393511,0.028149946,Inf,0,1
1,-1,-0.506057836,0.030061526,Inf,1,-1
1,-0.9,-0.444058807,0.029803324,Inf,1,-0.9
1,-0.8,-0.382059777,0.029567763,Inf,1,-0.8
1,-0.7,-0.320060747,0.029355388,Inf,1,-0.7
1,-0.6,-0.258061718,0.029166708,Inf,1,-0.6
1,-0.5,-0.196062688,0.029002183,Inf,1,-0.5
1,-0.4,-0.134063659,0.028862227,Inf,1,-0.4
1,-0.3,-0.072064629,0.028747198,Inf,1,-0.3
1,-0.2,-0.010065599,0.028657398,Inf,1,-0.2
1,-0.1,0.05193343,0.028593063,Inf,1,-0.1
1,0,0.11393246,0.028554365,Inf,1,0
1,0.1,0.17593149,0.02854141,Inf,1,0.1
1,0.2,0.237930519,0.028554232,Inf,1,0.2
1,0.3,0.299929549,0.028592796,Inf,1,0.3
1,0.4,0.361928578,0.028656999,Inf,1,0.4
1,0.5,0.423927608,0.028746668,Inf,1,0.5
1,0.6,0.485926638,0.028861566,Inf,1,0.6
1,0.7,0.547925667,0.029001394,Inf,1,0.7
1,0.8,0.609924697,0.029165793,Inf,1,0.8
1,0.9,0.671923727,0.02935435,Inf,1,0.9
1,1,0.733922756,0.029566602,Inf,1,1
