entropy,core_subscribe,yvar,SE,df,tvar,xvar
-1,-1,0.024165456,0.030101182,Inf,-1,-1
-1,-0.9,0.020432651,0.029667597,Inf,-1,-0.9
-1,-0.8,0.016699847,0.029275805,Inf,-1,-0.8
-1,-0.7,0.012967042,0.028927506,Inf,-1,-0.7
-1,-0.6,0.009234238,0.028624286,Inf,-1,-0.6
-1,-0.5,0.005501433,0.028367591,Inf,-1,-0.5
-1,-0.4,0.001768629,0.028158694,Inf,-1,-0.4
-1,-0.3,-0.001964176,0.027998664,Inf,-1,-0.3
-1,-0.2,-0.005696981,0.027888343,Inf,-1,-0.2
-1,-0.1,-0.009429785,0.027828322,Inf,-1,-0.1
-1,0,-0.01316259,0.027818927,Inf,-1,0
-1,0.1,-0.016895394,0.027860208,Inf,-1,0.1
-1,0.2,-0.020628199,0.027951941,Inf,-1,0.2
-1,0.3,-0.024361003,0.028093633,Inf,-1,0.3
-1,0.4,-0.028093808,0.028284531,Inf,-1,0.4
-1,0.5,-0.031826612,0.028523649,Inf,-1,0.5
-1,0.6,-0.035559417,0.028809786,Inf,-1,0.6
-1,0.7,-0.039292222,0.029141556,Inf,-1,0.7
-1,0.8,-0.043025026,0.029517421,Inf,-1,0.8
-1,0.9,-0.046757831,0.02993572,Inf,-1,0.9
-1,1,-0.050490635,0.030394701,Inf,-1,1
0,-1,0.065896914,0.02909483,Inf,0,-1
0,-0.9,0.064345716,0.028835367,Inf,0,-0.9
0,-0.8,0.062794518,0.028600035,Inf,0,-0.8
0,-0.7,0.061243321,0.028389433,Inf,0,-0.7
0,-0.6,0.059692123,0.028204116,Inf,0,-0.6
0,-0.5,0.058140925,0.028044584,Inf,0,-0.5
0,-0.4,0.056589727,0.027911281,Inf,0,-0.4
0,-0.3,0.055038529,0.027804582,Inf,0,-0.3
0,-0.2,0.053487331,0.027724796,Inf,0,-0.2
0,-0.1,0.051936133,0.027672155,Inf,0,-0.1
0,0,0.050384935,0.027646814,Inf,0,0
0,0.1,0.048833737,0.027648849,Inf,0,0.1
0,0.2,0.047282539,0.027678253,Inf,0,0.2
0,0.3,0.045731341,0.027734938,Inf,0,0.3
0,0.4,0.044180144,0.02781874,Inf,0,0.4
0,0.5,0.042628946,0.027929412,Inf,0,0.5
0,0.6,0.041077748,0.028066638,Inf,0,0.6
0,0.7,0.03952655,0.02823003,Inf,0,0.7
0,0.8,0.037975352,0.028419137,Inf,0,0.8
0,0.9,0.036424154,0.02863345,Inf,0,0.9
0,1,0.034872956,0.028872406,Inf,0,1
1,-1,0.107628373,0.031144961,Inf,1,-1
1,-0.9,0.108258781,0.030687276,Inf,1,-0.9
1,-0.8,0.10888919,0.030269808,Inf,1,-0.8
1,-0.7,0.109519599,0.02989424,Inf,1,-0.7
1,-0.6,0.110150007,0.02956217,Inf,1,-0.6
1,-0.5,0.110780416,0.029275078,Inf,1,-0.5
1,-0.4,0.111410825,0.029034299,Inf,1,-0.4
1,-0.3,0.112041234,0.028840993,Inf,1,-0.3
1,-0.2,0.112671642,0.028696118,Inf,1,-0.2
1,-0.1,0.113302051,0.02860041,Inf,1,-0.1
1,0,0.11393246,0.028554365,Inf,1,0
1,0.1,0.114562869,0.028558223,Inf,1,0.1
1,0.2,0.115193277,0.028611963,Inf,1,0.2
1,0.3,0.115823686,0.028715304,Inf,1,0.3
1,0.4,0.116454095,0.028867716,Inf,1,0.4
1,0.5,0.117084504,0.029068425,Inf,1,0.5
1,0.6,0.117714912,0.029316439,Inf,1,0.6
1,0.7,0.118345321,0.029610571,Inf,1,0.7
1,0.8,0.11897573,0.029949461,Inf,1,0.8
1,0.9,0.119606139,0.030331609,Inf,1,0.9
1,1,0.120236547,0.030755402,Inf,1,1
