entropy,event_number,yvar,SE,df,tvar,xvar
-1,-1,0.08673765,0.029173574,Inf,-1,-1
-1,-0.9,0.076747626,0.028906292,Inf,-1,-0.9
-1,-0.8,0.066757602,0.028666777,Inf,-1,-0.8
-1,-0.7,0.056767578,0.028455729,Inf,-1,-0.7
-1,-0.6,0.046777554,0.028273786,Inf,-1,-0.6
-1,-0.5,0.03678753,0.028121512,Inf,-1,-0.5
-1,-0.4,0.026797506,0.027999393,Inf,-1,-0.4
-1,-0.3,0.016807482,0.027907823,Inf,-1,-0.3
-1,-0.2,0.006817458,0.027847105,Inf,-1,-0.2
-1,-0.1,-0.003172566,0.02781744,Inf,-1,-0.1
-1,0,-0.01316259,0.027818927,Inf,-1,0
-1,0.1,-0.023152614,0.027851561,Inf,-1,0.1
-1,0.2,-0.033142638,0.027915234,Inf,-1,0.2
-1,0.3,-0.043132662,0.028009734,Inf,-1,0.3
-1,0.4,-0.053122686,0.028134749,Inf,-1,0.4
-1,0.5,-0.06311271,0.028289876,Inf,-1,0.5
-1,0.6,-0.073102734,0.028474622,Inf,-1,0.6
-1,0.7,-0.083092758,0.028688416,Inf,-1,0.7
-1,0.8,-0.093082782,0.028930612,Inf,-1,0.8
-1,0.9,-0.103072806,0.029200505,Inf,-1,0.9
-1,1,-0.11306283,0.029497333,Inf,-1,1
0,-1,0.179186257,0.028557229,Inf,0,-1
0,-0.9,0.166306125,0.028385562,Inf,0,-0.9
0,-0.8,0.153425993,0.028231189,Inf,0,-0.8
0,-0.7,0.14054586,0.028094397,Inf,0,-0.7
0,-0.6,0.127665728,0.027975444,Inf,0,-0.6
0,-0.5,0.114785596,0.027874558,Inf,0,-0.5
0,-0.4,0.101905464,0.027791936,Inf,0,-0.4
0,-0.3,0.089025332,0.02772774,Inf,0,-0.3
0,-0.2,0.0761452,0.0276821,Inf,0,-0.2
0,-0.1,0.063265067,0.027655106,Inf,0,-0.1
0,0,0.050384935,0.027646814,Inf,0,0
0,0.1,0.037504803,0.027657241,Inf,0,0.1
0,0.2,0.024624671,0.027686365,Inf,0,0.2
0,0.3,0.011744539,0.027734128,Inf,0,0.3
0,0.4,-0.001135594,0.027800432,Inf,0,0.4
0,0.5,-0.014015726,0.027885147,Inf,0,0.5
0,0.6,-0.026895858,0.027988105,Inf,0,0.6
0,0.7,-0.03977599,0.028109105,Inf,0,0.7
0,0.8,-0.052656122,0.028247916,Inf,0,0.8
0,0.9,-0.065536254,0.028404276,Inf,0,0.9
0,1,-0.078416387,0.028577898,Inf,0,1
1,-1,0.271634863,0.030248684,Inf,1,-1
1,-0.9,0.255864623,0.029938518,Inf,1,-0.9
1,-0.8,0.240094383,0.029657736,Inf,1,-0.8
1,-0.7,0.224324142,0.029407179,Inf,1,-0.7
1,-0.6,0.208553902,0.029187625,Inf,1,-0.6
1,-0.5,0.192783662,0.028999778,Inf,1,-0.5
1,-0.4,0.177013421,0.028844258,Inf,1,-0.4
1,-0.3,0.161243181,0.02872159,Inf,1,-0.3
1,-0.2,0.145472941,0.028632196,Inf,1,-0.2
1,-0.1,0.1297027,0.028576389,Inf,1,-0.1
1,0,0.11393246,0.028554365,Inf,1,0
1,0.1,0.09816222,0.028566203,Inf,1,0.1
1,0.2,0.082391979,0.028611861,Inf,1,0.2
1,0.3,0.066621739,0.028691176,Inf,1,0.3
1,0.4,0.050851499,0.028803872,Inf,1,0.4
1,0.5,0.035081258,0.028949558,Inf,1,0.5
1,0.6,0.019311018,0.029127739,Inf,1,0.6
1,0.7,0.003540777,0.029337823,Inf,1,0.7
1,0.8,-0.012229463,0.029579131,Inf,1,0.8
1,0.9,-0.027999703,0.029850905,Inf,1,0.9
1,1,-0.043769944,0.030152321,Inf,1,1
