entropy,participant_number,yvar,SE,df,tvar,xvar
-1,-1,-0.057954856,0.030602928,Inf,-1,-1
-1,-0.9,-0.053475629,0.030125151,Inf,-1,-0.9
-1,-0.8,-0.048996403,0.029687431,Inf,-1,-0.8
-1,-0.7,-0.044517176,0.029291563,Inf,-1,-0.7
-1,-0.6,-0.040037949,0.028939265,Inf,-1,-0.6
-1,-0.5,-0.035558723,0.028632145,Inf,-1,-0.5
-1,-0.4,-0.031079496,0.028371671,Inf,-1,-0.4
-1,-0.3,-0.026600269,0.028159137,Inf,-1,-0.3
-1,-0.2,-0.022121043,0.027995636,Inf,-1,-0.2
-1,-0.1,-0.017641816,0.027882028,Inf,-1,-0.1
-1,0,-0.01316259,0.027818927,Inf,-1,0
-1,0.1,-0.008683363,0.027806675,Inf,-1,0.1
-1,0.2,-0.004204136,0.02784534,Inf,-1,0.2
-1,0.3,0.00027509,0.02793471,Inf,-1,0.3
-1,0.4,0.004754317,0.028074301,Inf,-1,0.4
-1,0.5,0.009233543,0.02826337,Inf,-1,0.5
-1,0.6,0.01371277,0.028500931,Inf,-1,0.6
-1,0.7,0.018191997,0.028785783,Inf,-1,0.7
-1,0.8,0.022671223,0.02911654,Inf,-1,0.8
-1,0.9,0.02715045,0.029491655,Inf,-1,0.9
-1,1,0.031629676,0.029909462,Inf,-1,1
0,-1,0.022170702,0.029118161,Inf,0,-1
0,-0.9,0.024992125,0.028855512,Inf,0,-0.9
0,-0.8,0.027813549,0.028617155,Inf,0,-0.8
0,-0.7,0.030634972,0.0284037,Inf,0,-0.7
0,-0.6,0.033456395,0.028215715,Inf,0,-0.6
0,-0.5,0.036277818,0.02805371,Inf,0,-0.5
0,-0.4,0.039099242,0.027918137,Inf,0,-0.4
0,-0.3,0.041920665,0.027809384,Inf,0,-0.3
0,-0.2,0.044742088,0.027727765,Inf,0,-0.2
0,-0.1,0.047563512,0.027673522,Inf,0,-0.1
0,0,0.050384935,0.027646814,Inf,0,0
0,0.1,0.053206358,0.027647723,Inf,0,0.1
0,0.2,0.056027782,0.027676245,Inf,0,0.2
0,0.3,0.058849205,0.027732294,Inf,0,0.3
0,0.4,0.061670628,0.027815705,Inf,0,0.4
0,0.5,0.064492052,0.027926233,Inf,0,0.5
0,0.6,0.067313475,0.028063556,Inf,0,0.6
0,0.7,0.070134898,0.028227285,Inf,0,0.7
0,0.8,0.072956322,0.028416961,Inf,0,0.8
0,0.9,0.075777745,0.028632071,Inf,0,0.9
0,1,0.078599168,0.028872045,Inf,0,1
1,-1,0.102296259,0.031138814,Inf,1,-1
1,-0.9,0.10345988,0.030672782,Inf,1,-0.9
1,-0.8,0.1046235,0.030248744,Inf,1,-0.8
1,-0.7,0.10578712,0.029868486,Inf,1,-0.7
1,-0.6,0.10695074,0.029533701,Inf,1,-0.6
1,-0.5,0.10811436,0.029245949,Inf,1,-0.5
1,-0.4,0.10927798,0.029006632,Inf,1,-0.4
1,-0.3,0.1104416,0.028816955,Inf,1,-0.3
1,-0.2,0.11160522,0.028677903,Inf,1,-0.2
1,-0.1,0.11276884,0.028590216,Inf,1,-0.1
1,0,0.11393246,0.028554365,Inf,1,0
1,0.1,0.11509608,0.028570548,Inf,1,0.1
1,0.2,0.1162597,0.028638675,Inf,1,0.2
1,0.3,0.11742332,0.028758376,Inf,1,0.3
1,0.4,0.11858694,0.028929013,Inf,1,0.4
1,0.5,0.11975056,0.02914969,Inf,1,0.5
1,0.6,0.12091418,0.029419282,Inf,1,0.6
1,0.7,0.1220778,0.029736457,Inf,1,0.7
1,0.8,0.12324142,0.030099713,Inf,1,0.8
1,0.9,0.12440504,0.030507402,Inf,1,0.9
1,1,0.12556866,0.03095777,Inf,1,1
